metric,pearson,spearman,cosine,mae,mape
IntDen-12,0.9922065989789283,0.9692058446830512,0.9927034632708738,11.685300415793714,0.27665570919920596
RawIntDen-12,0.9922065989789283,0.9692058446830512,0.9927034632708738,11.685300415793714,0.27665570919920596
RawIntDen-11,0.9889686618200012,0.9677789321071473,0.9899275021714958,11.73776284998819,0.2762582374924218
IntDen-11,0.9889686618200012,0.9677789321071473,0.9899275021714958,11.73776284998819,0.27625823749242173
IntDen-8,0.9849760796158097,0.9503152657874212,0.9870994174246702,14.53295837766251,0.2583881981545241
RawIntDen-8,0.9849760796158097,0.9503152657874212,0.9870994174246702,14.53295837766251,0.2583881981545241
RawIntDen-9,0.9845772697038028,0.9570313200495717,0.9866880029348203,13.675574295107943,0.26768224965438214
IntDen-9,0.9845772697038028,0.9570313200495717,0.9866880029348203,13.67557429510794,0.2676822496543821
RawIntDen-10,0.9820837437140748,0.9596072383571375,0.9845294859444694,12.190887620028318,0.27459502822532905
IntDen-10,0.9820837437140748,0.9596072383571375,0.9845294859444694,12.190887620028318,0.27459502822532905
RawIntDen-7,0.9778123429828194,0.9337451706607496,0.9826733490112949,15.673205719360569,0.25787786146887176
IntDen-7,0.9778123429828193,0.9337451706607496,0.9826733490112948,15.673205719360569,0.2578778614688718
RawIntDen-6,0.9755328401115425,0.9278256943733953,0.9824801403425399,17.545325398736676,0.2582414321391371
IntDen-6,0.9755328401115425,0.9278256943733953,0.9824801403425399,17.545325398736676,0.2582414321391371
IntDen-5,0.9625915655105268,0.9192253087343261,0.9742630690756731,19.912767758967,0.2553462006789868
RawIntDen-5,0.9625915655105268,0.9192253087343261,0.9742630690756732,19.912767758967,0.25534620067898683
RawIntDen-13,0.9601674491017613,0.9676637889101036,0.9740937988759749,10.317253303714233,0.28211235046068045
IntDen-13,0.9601674491017612,0.9676637889101036,0.9740937988759746,10.317253303714233,0.28211235046068045
IntDen-19,0.9580946725145095,0.9789401684786523,0.9737386865203405,10.099600862286437,0.26302361447359335
RawIntDen-19,0.9580946725145092,0.9789401684786523,0.9737386865203405,10.099600862286437,0.26302361447359335
IntDen-14,0.9569083642634693,0.9693174977213935,0.9718049987057562,10.600381396723071,0.2804971125247927
RawIntDen-14,0.9569083642634691,0.9693174977213935,0.9718049987057562,10.600381396723073,0.2804971125247927
RawIntDen-15,0.956081795496682,0.9756593624916751,0.9703589887946158,10.129980106951873,0.27766618518830927
IntDen-15,0.9560817954966818,0.9756593624916751,0.9703589887946158,10.129980106951873,0.27766618518830927
RawIntDen-16,0.9551599239263721,0.9687376437574275,0.9713708579476183,10.71834729906377,0.2747524536351393
IntDen-16,0.9551599239263721,0.9687376437574275,0.9713708579476187,10.71834729906377,0.2747524536351393
IntDen-17,0.9541173467490209,0.9691750146712105,0.9711294211134981,10.41717431372549,0.2725671068221314
RawIntDen-17,0.9541173467490209,0.9691750146712105,0.9711294211134981,10.417174313725491,0.2725671068221314
RawIntDen-18,0.9489018369019827,0.974174899412091,0.9681256470188564,10.46860116803711,0.267933157997175
IntDen-18,0.9489018369019827,0.974174899412091,0.9681256470188564,10.46860116803711,0.26793315799717493
IntDen-4,0.9449186174907155,0.9104266806121513,0.9653535282401612,25.740922147168277,0.26055150319415094
RawIntDen-4,0.9449186174907155,0.9104266806121513,0.9653535282401612,25.740922147168277,0.26055150319415094
IntDen-2,0.923717928157213,0.8982360689756146,0.960224442980847,49.65922709913872,0.2868707709205599
RawIntDen-2,0.9237179281572129,0.8982360689756146,0.960224442980847,49.65922709913872,0.2868707709205599
IntDen-3,0.9195958763030242,0.8964615018230888,0.9546541830508113,34.01703171212965,0.2698770389668766
RawIntDen-3,0.9195958763030242,0.8964615018230888,0.9546541830508113,34.01703171212965,0.2698770389668766
RawIntDen-1,0.889687908092392,0.9246473678532987,0.9588666750235831,63.500243103364795,0.28880528066843203
IntDen-1,0.889687908092392,0.9246473678532987,0.9588666750235831,63.500243103364795,0.28880528066843203
RawIntDen-0,0.7753143341351303,0.8377690859046792,0.9471624236483839,63.25275320523279,0.2871820186426247
IntDen-0,0.7753143341351302,0.8377690859046792,0.9471624236483839,63.25275320523279,0.2871820186426247
